ciudades,x,y
Estado de Sonora,0.210447,0.817903
Sombrerete,0.442152,0.502919
Soledad DÃ­ez GutiÃ©rrez,0.531233,0.422945
Estado de Sinaloa,0.314904,0.578386
Silao,0.515231,0.354173
Sayula,0.443543,0.295511
Saucillo,0.387681,0.745894
Santiago Papasquiaro,0.383544,0.580812
Santiago Ixcuintla,0.390495,0.402227
Santiago,0.557288,0.601895
Santa Rosalia,0.157637,0.70775
Santa Rosa Jauregui,0.547511,0.342989
Santa MarÃ­a del RÃ­o,0.537954,0.401299
Santa Isabel,0.119618,0.760841
Santa Cruz del Valle,0.44905,0.331499
Santa Cruz de las Flores,0.446759,0.328582
Santa Catarina,0.547191,0.615599
Santa BÃ¡rbara,0.370354,0.678169
Santa Anita,0.448699,0.33247
Santa Anita,0.44883,0.332451
Santa Ana Pacueco,0.495808,0.321212
Santa Ana,0.195465,0.884746
San SebastiÃ¡n el Grande,0.449599,0.330578
San Pedro,0.456197,0.602338
San NicolÃ¡s de los Garza,0.552334,0.619381
San Miguel Octopan,0.537636,0.333762
San Miguel el Alto,0.482999,0.358957
San Miguel de Papasquiaro,0.386274,0.569033
San Miguel de Allende,0.537765,0.35261
San Luis RÃ­o Colorado,0.0750308,0.99051
Estado de San Luis PotosÃ­,0.54581,0.440203
San Luis PotosÃ­,0.530004,0.420847
San Luis de la Paz,0.545269,0.373798
San Luis de la Paz,0.545257,0.373757
Cabo San Lucas,0.235328,0.461808
San JuliÃ¡n,0.490401,0.357897
San Juan de los Lagos,0.485384,0.371051
San Juan de la Vega,0.537187,0.336577
San Juan de Abajo,0.391052,0.347059
San JosÃ© Iturbide,0.549631,0.357378
San JosÃ© del Castillo,0.455494,0.330433
San JosÃ© del Cabo,0.242409,0.471094
San Gabriel,0.430357,0.289123
San Francisco del RincÃ³n,0.501108,0.358312
San Felipe,0.0728099,0.91139
San Felipe,0.522194,0.383701
Tlaltenango de SÃ¡nchez RomÃ¡n,0.453349,0.400528
San Buenaventura,0.51121,0.692356
NicolÃ¡s R Casillas,0.447965,0.33222
Salvatierra,0.533301,0.313765
Saltillo,0.529142,0.601778
Salinas de Hidalgo,0.505759,0.447275
Salamanca,0.522999,0.333634
Sahuayo de Morelos,0.47272,0.305258
Sabinas Hidalgo,0.556304,0.661494
Ciudad Sabinas,0.525445,0.736242
EstaciÃ³n Ruiz,0.392627,0.409862
Rosarito,0,0.985222
Romita,0.512268,0.350178
RÃ­o Grande,0.462343,0.513521
RincÃ³n de Tamayo,0.537394,0.325457
RincÃ³n de Romos,0.485703,0.425179
Ramos Arizpe,0.531051,0.608194
Quiroga,0.512069,0.283535
Santiago de QuerÃ©taro,0.549503,0.334524
PuruÃ¡ndiro,0.512303,0.306931
PurÃ©paro de EchaÃ­z,0.496124,0.297067
Puerto Vallarta,0.389778,0.336123
Puerto PeÃ±asco,0.115732,0.927556
Pueblo Yaqui,0.231302,0.708566
PoncitlÃ¡n,0.465799,0.323003
Poanas,0.443319,0.620972
Piedras Negras,0.545034,0.782901
PetatlÃ¡n,0.520477,0.165919
PeribÃ¡n de Ramos,0.482647,0.275498
PÃ©njamo,0.505524,0.32591
PÃ¡tzcuaro,0.509232,0.275264
Parras de la Fuente,0.490419,0.602793
Paracho de Verduzco,0.494715,0.282533
Palau,0.515357,0.738254
Ojo Caliente,0.488084,0.443888
Ojinaga,0.412384,0.830813
OcotlÃ¡n,0.470813,0.321658
Nuevo San Juan Parangaricutiro,0.492013,0.269882
Nuevo MÃ©xico,0.448732,0.343834
Nuevo Casas Grandes,0.301325,0.87772
Nueva Rosita,0.522122,0.740905
Nueva Italia de Ruiz,0.493257,0.248124
NochistlÃ¡n,0.468404,0.377493
Estado de Nayarit,0.397371,0.412566
Navolato,0.308233,0.565458
Navojoa,0.250781,0.69281
Nava,0.537047,0.76746
Nacozari Viejo,0.243983,0.876862
MoroleÃ³n,0.522981,0.308968
Morelia,0.523233,0.285481
Monterrey,0.551798,0.615699
Monclova,0.515444,0.683785
Miguel Auza,0.44847,0.539375
Estado de MichoacÃ¡n de Ocampo,0.501828,0.255959
Mexico,0.49633,0.46784
Mexicali,0.0525142,1
Pedro Meoqui,0.381427,0.759866
Melchor MÃºzquiz,0.512291,0.737536
Medina,0.508783,0.365569
MazatlÃ¡n,0.350985,0.480713
Matehuala,0.541082,0.50367
Matamoros,0.455806,0.607515
Marfil,0.519833,0.357229
MaravatÃ­o,0.547714,0.296032
Manzanillo,0.419071,0.253211
Rodolfo SÃ¡nchez Taboada,0.0156557,0.949877
Magdalena de Kino,0.200704,0.889458
San Pedro Madera,0.293567,0.810183
Los Mochis,0.265674,0.622348
Loreto,0.187943,0.634332
Loreto,0.496694,0.427627
LombardÃ­a,0.494644,0.255483
LeÃ³n,0.507183,0.364507
Las Varas,0.392886,0.367254
Las Pintas de Arriba,0.452674,0.333733
La Piedad Cavadas,0.495405,0.321234
La Paz,0.222221,0.530747
La Orilla,0.488844,0.191243
La Mira Tumbiscatio,0.486984,0.229243
Lagos de Moreno,0.498508,0.376965
La Cruz,0.334944,0.518761
La CaÃ±ada,0.551327,0.335629
La Barca,0.478331,0.318064
Santa Cruz de Juventino Rosas,0.529552,0.337581
JuÃ¡rez,0.559143,0.614161
Juan Aldama,0.450389,0.539246
Jocotepec,0.449193,0.317788
JiquÃ­lpan de JuÃ¡rez,0.47259,0.301733
JimÃ©nez,0.384176,0.76263
JesÃºs MarÃ­a,0.485005,0.410417
Jerez de GarcÃ­a Salinas,0.463662,0.448418
Jaral del Progreso,0.527219,0.322618
Jamay,0.472991,0.318242
Jalpa,0.464002,0.392354
JalostotitlÃ¡n,0.481029,0.366546
Estado de Jalisco,0.441353,0.320444
IxtlÃ¡n del RÃ­o,0.418114,0.359453
Ixtapa,0.390613,0.341618
Irapuato,0.517564,0.339426
Huetamo de NÃºÃ±ez,0.532714,0.226254
Huatabampo,0.244241,0.679321
Hidalgo del Parral,0.375395,0.685042
HerÃ³ica ZitÃ¡cuaro,0.550516,0.270852
Nogales,0.201359,0.927084
Heroica Caborca,0.161238,0.894573
Hermosillo,0.2002,0.80515
Heroica Guaymas,0.202831,0.739744
Guasave,0.282988,0.609751
Estado de Guanajuato,0.529317,0.357293
Guanajuato,0.52077,0.35832
GuamÃºchil,0.295706,0.604035
Guadalupe Victoria,0.426347,0.547655
Guadalupe,0.553844,0.615794
Guadalupe,0.479236,0.45419
Guadalajara,0.450419,0.338877
Gomez Palacio,0.446986,0.609884
Vicente Guerrero,0.430856,0.508426
Juan Jose Rios,0.271207,0.620225
General Escobedo,0.551925,0.622337
Garza GarcÃ­a,0.549848,0.614526
Fresnillo,0.467587,0.477858
EtzatlÃ¡n,0.427806,0.344491
Escuinapa de Hidalgo,0.371793,0.458583
Ensenada,0.0147361,0.957899
EncarnaciÃ³n de DÃ­az,0.488422,0.386437
Empalme Escobedo,0.537671,0.339191
Empalme,0.205583,0.742087
Pueblo Nuevo,0.384733,0.488803
El Salto,0.413864,0.320444
El Rosario,0.325368,0.537238
El Quince,0.453953,0.332081
El Pueblito,0.547743,0.331852
El Grullo,0.423164,0.291298
El Fuerte de Montes Claros,0.278016,0.656701
El Dorado,0.319424,0.540957
El Colomo,0.421829,0.250119
Arenal,0.440483,0.344863
Estado de Durango,0.402869,0.569174
Victoria de Durango,0.408667,0.524236
Degollado,0.49139,0.327833
CuliacÃ¡n,0.318605,0.566796
Gueramaro,0.50715,0.336564
CuauhtÃ©moc,0.33591,0.766804
Coyuca de BenÃ­tez,0.559429,0.136695
Cotija de la Paz,0.473174,0.291475
Villa de Costa Rica,0.318587,0.555816
Cortazar,0.530614,0.328555
CoquimatlÃ¡n,0.43664,0.258147
Compostela,0.400666,0.370435
Comonfort,0.537251,0.34197
ColotlÃ¡n,0.454534,0.418812
Vicente Guerrero,0.0348252,0.895155
Estado de Colima,0.430357,0.255959
Colima,0.439358,0.260563
Cocula,0.436224,0.322204
CoalcomÃ¡n de VÃ¡zquez Pallares,0.458066,0.234448
Estado de Coahuila de Zaragoza,0.49633,0.707357
Ciudad ObregÃ³n,0.23439,0.715819
Ciudad Manuel Doblado,0.497899,0.342304
Ciudad Lerdo,0.44604,0.608078
Ciudad JuÃ¡rez,0.348441,0.950559
Ciudad Hidalgo,0.543917,0.285012
Ciudad GuzmÃ¡n,0.448114,0.285695
Ciudad Delicias,0.381863,0.754715
Ciudad ConstituciÃ³n,0.177596,0.58016
Ciudad Camargo,0.391718,0.726431
Ciudad AnÃ¡huac,0.55794,0.702451
Ciudad Altamirano,0.540214,0.211272
Ciudad AcuÃ±a,0.530895,0.817345
CiÃ©nega de Flores,0.556781,0.631165
Estado de Chihuahua,0.364384,0.771842
Chihuahua,0.361452,0.77932
CherÃ¡n,0.497858,0.284629
Charcas,0.525552,0.474914
Chapala,0.457036,0.318389
Cerritos,0.552911,0.436243
Celaya,0.535396,0.330957
CastaÃ±os,0.515063,0.677288
Casimiro Castillo,0.41603,0.280198
Capilla de Guadalupe,0.476807,0.347752
CanatlÃ¡n,0.40485,0.552173
Cananea,0.222851,0.909307
Villa JuÃ¡rez,0.313565,0.559521
Calvillo,0.47263,0.404045
VÃ­ctor Rosales,0.473166,0.465015
Buenos Aires,0.490393,0.250891
Estado de Baja California Sur,0.171963,0.624447
AutlÃ¡n de Navarro,0.418263,0.289209
Atoyac de Ãlvarez,0.548018,0.147623
Atotonilco el Alto,0.479526,0.332464
AscenciÃ³n,0.298961,0.915553
Armeria,0.431539,0.243308
Ario de Rosales,0.505981,0.258299
Arcelia,0.553018,0.209076
Arandas,0.484905,0.340998
Apodaca,0.556931,0.62038
ApatzingÃ¡n,0.484553,0.251646
Apaseo el Grande,0.53972,0.332141
Apaseo el Alto,0.541772,0.327306
AnÃ¡huac,0.339737,0.770956
Ameca,0.42887,0.332215
Allende,0.534228,0.763067
Allende,0.561828,0.593682
Ajijic,0.45494,0.318781
Ahualulco de Mercado,0.431195,0.340787
Ahome,0.259711,0.629229
Estado de Aguascalientes,0.479837,0.412566
Aguascalientes,0.487009,0.406063
Agua Prieta,0.247323,0.928305
Adolfo RuÃ­z CortÃ­nes,0.273671,0.619841
Acatic,0.466294,0.34513
Acaponeta,0.385374,0.439869
AcÃ¡mbaro,0.538471,0.303691
Abasolo,0.51181,0.326891
JesÃºs GÃ³mez Portugal (Margaritas),0.486718,0.41252
AnÃ¡huac,0.557942,0.702229
Dolores Hidalgo Cuna de la Independencia Nacional,0.531543,0.365922
Guacamayas,0.489329,0.192541
Ciudad LÃ¡zaro CÃ¡rdenas,0.489032,0.189851
San Pio de Pietrelcina,0.450633,0.330888
Los Cabos,0.235764,0.460792
Loreto,0.17396,0.664229
La Paz,0.222542,0.530482
MulegÃ©,0.155469,0.666823
ComondÃº,0.172513,0.637344
Ensenada,0.0141773,0.957929
Mexicali,0.0626329,0.993219
Tecate,0.0136637,0.995715
Tijuana,0.00245189,0.993059
Playas de Rosarito,0.000481274,0.984281
Aguascalientes,0.486434,0.406118
Asientos,0.493581,0.425463
Calvillo,0.47269,0.404275
CosÃ­o,0.486434,0.432833
JesÃºs MarÃ­a,0.484785,0.410724
PabellÃ³n de Arteaga,0.487534,0.420857
RincÃ³n de Romos,0.485885,0.425463
TepezalÃ¡,0.490833,0.424542
El Llano,0.49743,0.40796
San Francisco de los Romo,0.487534,0.417172
CalkinÃ­,0.892576,0.323346
Carmen,0.831803,0.226295
ChampotÃ³n,0.868751,0.266115
HecelchakÃ¡n,0.887771,0.311232
EscÃ¡rcega,0.868131,0.225413
Calakmul,0.900415,0.191473
Candelaria,0.867429,0.191473
Puente de Ixtla,0.584798,0.225451
Acacoyagua,0.804754,0.0449991
Acala,0.799224,0.111545
AmatÃ¡n,0.799256,0.156467
BerriozÃ¡bal,0.784413,0.125145
CatazajÃ¡,0.825646,0.176733
ChilÃ³n,0.81685,0.142649
Cintalapa,0.769761,0.118943
Escuintla,0.805304,0.0440777
Colonia del Valle,0.589945,0.268088
Colonia Lindavista,0.591175,0.273917
Col. Bosques de las Lomas,0.58652,0.267691
Colonia Nativitas,0.590776,0.267816
Ecatepec de Morelos,0.593471,0.280119
Ãlvaro ObregÃ³n,0.588041,0.267472
Ahumada,0.348276,0.88138
AscensiÃ³n,0.307268,0.925455
Buenaventura,0.325029,0.855922
Camargo,0.404624,0.734757
Chihuahua,0.357828,0.7899
Guachochi,0.321698,0.698331
Guerrero,0.31478,0.767911
Aldama,0.373918,0.795962
CuencamÃ©,0.439009,0.558556
GuanacevÃ­,0.360789,0.633444
MapimÃ­,0.428555,0.644214
Mezquital,0.412099,0.461428
Pueblo Nuevo,0.386148,0.490725
Tamazula,0.339074,0.581474
Tepehuanes,0.357495,0.604828
Apaxtla,0.562448,0.195689
Arcelia,0.556014,0.206191
Atlixtac,0.598488,0.164629
AzoyÃº,0.609201,0.116813
Cocula,0.57205,0.199375
Copala,0.597238,0.114463
Copalillo,0.593497,0.189817
Copanatoyac,0.605184,0.159918
Cuautepec,0.595794,0.119905
HuamuxtitlÃ¡n,0.609946,0.179813
Igualapa,0.612321,0.122673
Malinaltepec,0.604997,0.146052
MetlatÃ³noc,0.61452,0.145555
MochitlÃ¡n,0.583175,0.157396
OlinalÃ¡,0.603486,0.183979
Ometepec,0.615654,0.118537
Pilcaya,0.574622,0.230788
Pungarabato,0.541228,0.210785
Teloloapan,0.564408,0.211262
Tetipac,0.572931,0.227516
Tlacoachistlahuaca,0.619734,0.13212
Tlalchapa,0.547329,0.215194
Tlapehuala,0.547405,0.206516
XalpatlÃ¡huac,0.6098,0.157693
Xochistlahuaca,0.622112,0.126074
ZirÃ¡ndaro,0.523034,0.21159
Zitlala,0.588835,0.17598
Acatepec,0.596081,0.145863
Iliatenco,0.605938,0.138148
AcaxochitlÃ¡n,0.622019,0.311236
Actopan,0.598085,0.317746
Ajacuba,0.593264,0.309938
Alfajayucan,0.582627,0.324783
Almoloya,0.617081,0.287834
Atitalaquia,0.588106,0.305165
Atlapexco,0.616126,0.358679
Calnali,0.609464,0.351888
Chapantongo,0.579924,0.316685
ChapulhuacÃ¡n,0.59757,0.36526
Chilcuautla,0.587561,0.320904
Epazoyucan,0.60723,0.303487
Huehuetla,0.625972,0.330432
JaltocÃ¡n,0.610975,0.365619
MetztitlÃ¡n,0.601987,0.333389
Pisaflores,0.595454,0.369873
Singuilucan,0.611149,0.301447
Tasquillo,0.583889,0.332253
Tecozautla,0.57396,0.331481
Tepeapulco,0.611733,0.291225
Tlahuelilpan,0.587809,0.309253
Tlanchinol,0.606836,0.358954
Tolcayuca,0.597959,0.298765
Xochiatipan,0.618972,0.349441
Yahualica,0.615785,0.352586
Zempoala,0.606218,0.29862
Acatic,0.46614,0.34426
AmatitÃ¡n,0.439449,0.349438
AyotlÃ¡n,0.484759,0.329321
Casimiro Castillo,0.414557,0.279674
CihuatlÃ¡n,0.409006,0.259917
ColotlÃ¡n,0.453899,0.417348
CuquÃ­o,0.462112,0.355304
Degollado,0.491384,0.327113
EtzatlÃ¡n,0.426797,0.344415
El Grullo,0.423706,0.29063
La Huerta,0.402196,0.274532
Jamay,0.474131,0.317286
Jocotepec,0.449623,0.318084
JuanacatlÃ¡n,0.458416,0.329587
Mascota,0.403795,0.332388
Mazamitla,0.461655,0.295748
Mezquitic,0.428863,0.423958
OcotlÃ¡n,0.471958,0.323609
Pihuamo,0.450881,0.257207
PoncitlÃ¡n,0.465812,0.321818
Puerto Vallarta,0.390957,0.340224
Villa PurificaciÃ³n,0.407015,0.29019
El Salto,0.455828,0.331247
San JuliÃ¡n,0.490993,0.35675
Tala,0.440494,0.335086
Tapalpa,0.439014,0.299279
TecolotlÃ¡n,0.429707,0.314087
TomatlÃ¡n,0.390843,0.301032
TototlÃ¡n,0.471947,0.331837
Tuxpan,0.449244,0.273728
San Gabriel,0.43854,0.286114
Villa Corona,0.440619,0.324065
Zapotiltic,0.451836,0.280833
Morelos,0.573952,0.287948
Ocoyoacac,0.580935,0.261831
Otzolotepec,0.577343,0.270805
PolotitlÃ¡n,0.568173,0.314173
Sultepec,0.562919,0.23293
Tejupilco,0.554625,0.239098
Temascalcingo,0.561248,0.297352
Temascaltepec,0.562838,0.250373
Temoaya,0.575553,0.272782
Tenancingo,0.576302,0.244567
Timilpan,0.571357,0.295396
Luvianos,0.548301,0.243736
Amacuzac,0.583002,0.224668
Atlatlahucan,0.598755,0.243184
Cuernavaca,0.587372,0.244277
Jantetelco,0.602539,0.230234
Jojutla,0.58799,0.224084
Tepalcingo,0.599597,0.224721
Tlaquiltenango,0.591247,0.221896
Tlayacapan,0.596082,0.244021
Xochitepec,0.587615,0.234059
Yautepec,0.593858,0.240371
Yecapixtla,0.599507,0.23896
Temoac,0.602595,0.233518
AnÃ¡huac,0.558249,0.705263
Montemorelos,0.567439,0.587615
Huehuetla,0.640644,0.307763
Las Delicias,0.00339234,0.9879
San Pedro Garza Garcia,0.54902,0.614709
Soledad de Graciano SÃ¡nchez,0.531269,0.422685
Manzanillo,0.419939,0.249633
Naucalpan de JuÃ¡rez,0.586163,0.268687
Hacienda Santa Fe,0.45079,0.330655
Fuentes del Valle,0.590718,0.281707
San Salvador Tizatlalli,0.5758,0.261133
Jardines de la Silla (Jardines),0.556109,0.613177
San Buenaventura,0.599807,0.263467
Colonia Santa Teresa,0.587593,0.293452
San JerÃ³nimo Cuatro Vientos,0.600513,0.262945
San MartÃ­n Azcatepec,0.596188,0.284701
Fraccionamiento Real Palmas,0.557035,0.628362
PÃ³rticos de San Antonio,0.000405075,0.989757
San Isidro,0.596921,0.265524
Centro Familiar la Soledad,0.504586,0.364755
San JosÃ© Guadalupe Otzacatipan,0.575764,0.2658
Las Pintitas,0.453375,0.333218
Emiliano Zapata,0.596124,0.265739
San Antonio TecÃ³mitl,0.595684,0.258784
Licenciado Benito JuÃ¡rez (Campo Gobierno),0.31342,0.559409
TeotihuacÃ¡n de Arista,0.599881,0.28487
JesÃºs del Monte,0.585577,0.267474
San Jorge Pueblo Nuevo,0.574582,0.260795
Manuel Ojinaga,0.416622,0.830678
Terrazas del Valle,0.00724978,0.992245
La Ermita,0.505136,0.365691
Lomas del Sur,0.449572,0.329242
Parque Industrial Ciudad Mitras,0.547533,0.621975
Mitras Poniente,0.548257,0.621269
Villa del Prado 2da SecciÃ³n,0.00246673,0.988729
Tres de Mayo,0.588418,0.239484
Don Antonio,0.597443,0.29508
Heroica Ciudad de Tlaxiaco,0.638859,0.151093
Ciudad de Huitzuco,0.584368,0.208117
Casa Blanca,0.624355,0.24908
La Providencia Siglo XXI,0.604618,0.305567
AmpliaciÃ³n San Mateo (Colonia Solidaridad),0.590434,0.280816
Fraccionamiento Ciudad Olmeca,0.741997,0.199795
San Rafael Tlanalapan,0.612837,0.262868
TecÃ¡mac de Felipe Villanueva,0.596335,0.28616
Venceremos,0.549173,0.332466
Alborada Jaltenco,0.593017,0.283334
Crucecita,0.689796,0.0681525
Progreso,0.590256,0.240118
Santa Clara del Cobre,0.50826,0.269148
Palmira,0.657589,0.240267
Villa de El Carmen Tequexquitla,0.639629,0.264679
Real del Valle (El ParaÃ­so) [Fraccionamiento],0.451148,0.332175
Villa del Campo,0.0101638,0.99335
Vicente Guerrero,0.671113,0.1325
Morelos,0.521437,0.282613
Centro de ReadaptaciÃ³n Social,0.456957,0.332665
VeintidÃ³s de Febrero,0.583854,0.28054
Fraccionamiento Geovillas los Pinos,0.686782,0.258753
Juan Morales,0.597865,0.236321
Santa MarÃ­a Zacatepec,0.616227,0.253563
La Tijera,0.448811,0.334171
Lomas de San AgustÃ­n,0.447913,0.331176
CÃ³rdoba (Santa Leticia),0.661959,0.241695
Las Palmas,0.23434,0.464342
San Francisco Tecoxpa,0.595079,0.257341
La Resolana,0.416017,0.28011
Villas de la Hacienda [Fraccionamiento],0.450717,0.331376
Conjunto Habitacional Villas del Pedregal,0.519302,0.284532
Pomoca,0.7955,0.194221
Simojovel de Allende,0.80261,0.143938
Puerto Escondido (Tepeolulco Puerto Escondido),0.592055,0.277254
Unidad Habitacional JosÃ© MarÃ­a Morelos y PavÃ³n,0.58664,0.236813
Nueva Palestina,0.850606,0.126097
Las Veredas,0.242132,0.476146
Profesor Carlos Hank GonzÃ¡lez,0.597306,0.26732
Fraccionamiento la Trinidad,0.592559,0.292577
Santa Cruz Amilpas,0.671709,0.139424
Paseos de San Juan,0.594713,0.289967
